"Effect_Size_ID","Study_ID","Species_ID","Treatment_ID_T1","Treatment_ID_T2","Trait_ID","First_Author","Title","Year","Journal","Journal_Impact_Factor-2021","Kingdom","Phylum","Class","Order","Family","Scientific_Name","Ecosystem","Plasticity_Mechanism","Developmental_Exposure_Time_Category","Developmental_Exposure_Time","Acclimation_Exposure_Time","Exposure_Units","T1_constant","T1_fluctuation","T2_constant","T2_fluctuation","High","Fluctuation_Magnitude","Fluctuation_Category","Fluctuation_Period","Fluctuation_Unit","Number_Of_Fluctuations","Acclimation_Life-History_Stage","Acclimation_Life-History_Stage_Category","Trait_Category","Measurement","Trait_Unit","Sex","Performance_Curve","Complex_Design","Species_Overlap","Animal_Overlap_T1_Constant","Animal_Overlap_T1_Fluctuation","Animal_Overlap_Trait_T1","Animal_Overlap_T2_Constant","Animal_Overlap_T2_Fluctuation","Animal_Overlap_Trait_T2","Animal_Code","Shared_Animal_Number","Shared_Control_T1","Shared_Control_T2","Shared_Control_Code","Shared_Control_Number","n_T1_C","Mean_T1_C","SD_Final_T1_C","n_T1_F","Mean_T1_F","SD_Final_T1_F","n_T2_C","Mean_T2_C","SD_Final_T2_C","n_T2_F","Mean_T2_F","SD_Final_T2_F","Percentage_Transformation_T1","Proportion_Transformation_T1","In_Transformation_T1","Percentage_Transformation_T2","Proportion_Transformation_T2","In_Transformation_T2","Mean_Transformed_T1_C","SD_Final_Transformed_T1_C","Mean_Transformed_T1_F","SD_Final_Transformed_T1_F","Mean_Transformed_T2_C","SD_Final_Transformed_T2_C","Mean_Transformed_T2_F","SD_Final_Transformed_T2_F","Mean_T1_C_Add","SD_Final_T1_C_Add","Mean_T1_F_Add","SD_Final_T1_F_Add","Mean_T2_C_Add","SD_Final_T2_C_Add","Mean_T2_F_Add","SD_Final_T2_F_Add","InRR_Transformed","v_InRR","InRR_Untransformed","v_InRR_Untransformed","Year_Z","Precision"
13,5,1,1,2,1,"T. Ketola","Constant, Cycling, Hot And Cold Thermal Environments: Strong Effects On Mean Viability But Not On Genetic Estimates",2012,"Journal Of Evolutionary Biology",2.516,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila melanogaster","Terrestrial","Developmental Plasticity","Embryo","Egg Incubation","NA","NA",25,25,30,30,"T2",8,"Alternating","1","Day","NA","NA","NA","Population","Survival","Proportion","NA","No","Yes","A","A","B","A","C","D","A","5:A:A:B:C:D:A:A",3,"A","B","5:A:A:B:1",13,17160,0.83,0.392988549451508,17340,0.81,0.395044301313157,16830,0.74,0.518921959450552,16920,0.66,0.520307601328291,"No","Yes","No","No","Yes","No",1.64580754383249,1.02310201619567,1.61976951499863,1.00349654609523,1.53572551959974,1.0915201179132,1.44826290704476,1.04918510365346,1.33,0.892988549451508,1.31,0.895044301313157,1.24,1.01892195945055,1.16,1.02030760132829,-0.00853815400450737,0.200105688143998,-0.010307913895614,0.200139035629192,0.040722552506144,-0.170774030236255
14,9,1,4,5,1,"J. M. Arrighi","Daily Temperature Fluctuations Unpredictably Influence Developmental Rate And Morphology At A Critical Early Larval Stage In A Frog",2013,"Bmc Ecology",3.368,"Metazoa","Chordata","Amphibia","Anura","Bombinatoridae","Bombina orientalis","Aquatic","Developmental Plasticity","Embryo","Egg Incubation","NA","NA",20,20,28,28,"T2",12,"Sinusoidal (Sine Curve)","1","Day","NA","NA","NA","Life-History Traits","Development Time","Stage","NA","No","Yes","A","E","F","A","G","H","A","9:A:E:F:G:H:A:A",4,"B","C","9:A:B:C:1",14,168,18.5724381625442,1.14500719053139,168,18.113074204947,1.14500719053143,168,20.9929328621908,2.29001438106287,168,20.4098939929329,1.37400862863772,"No","No","No","No","No","No",19.0724381625442,1.64500719053139,18.613074204947,1.64500719053143,21.4929328621908,2.79001438106287,20.9098939929329,1.87400862863772,19.0724381625442,1.64500719053139,18.613074204947,1.64500719053143,21.4929328621908,2.79001438106287,20.9098939929329,1.87400862863772,-0.000390214569864581,0.125238887786179,-0.000390214569864581,0.125238887786179,0.152841787977594,0.6723731642556
15,9,1,4,5,2,"J. M. Arrighi","Daily Temperature Fluctuations Unpredictably Influence Developmental Rate And Morphology At A Critical Early Larval Stage In A Frog",2013,"Bmc Ecology",3.368,"Metazoa","Chordata","Amphibia","Anura","Bombinatoridae","Bombina orientalis","Aquatic","Developmental Plasticity","Embryo","Egg Incubation","NA","NA",20,20,28,28,"T2",12,"Sinusoidal (Sine Curve)","1","Day","NA","NA","NA","Morphology","Length","mm","NA","No","Yes","A","E","F","A","G","H","A","9:A:E:F:G:H:A:A",4,"B","C","9:A:B:C:2",15,168,4.59154929577465,0.547668228034472,168,4.3887323943662,1.24138131687812,168,4.53239436619718,0.985802810462045,168,4.53239436619718,0.693713088843652,"No","No","No","No","No","No",5.09154929577465,1.04766822803447,4.8887323943662,1.74138131687812,5.03239436619718,1.48580281046205,5.03239436619718,1.19371308884365,5.09154929577465,1.04766822803447,4.8887323943662,1.74138131687812,5.03239436619718,1.48580281046205,5.03239436619718,1.19371308884365,0.00508113984138483,0.126861059969552,0.00508113984138483,0.126861059969552,0.152841787977594,0.643556601645476
16,9,1,4,5,3,"J. M. Arrighi","Daily Temperature Fluctuations Unpredictably Influence Developmental Rate And Morphology At A Critical Early Larval Stage In A Frog",2013,"Bmc Ecology",3.368,"Metazoa","Chordata","Amphibia","Anura","Bombinatoridae","Bombina orientalis","Aquatic","Developmental Plasticity","Embryo","Egg Incubation","NA","NA",20,20,28,28,"T2",12,"Sinusoidal (Sine Curve)","1","Day","NA","NA","NA","Morphology","Tail Length","mm","NA","No","Yes","A","E","F","A","G","H","A","9:A:E:F:G:H:A:A",4,"B","C","9:A:B:C:3",16,168,2.32867132867133,1.63151514085792,168,1.2937062937063,1.08767676057195,168,4.46853146853147,1.63151514085791,168,3.7972027972028,1.08767676057195,"No","No","No","No","No","No",2.82867132867133,2.13151514085792,1.7937062937063,1.58767676057195,4.96853146853147,2.13151514085791,4.2972027972028,1.58767676057195,2.82867132867133,2.13151514085792,1.7937062937063,1.58767676057195,4.96853146853147,2.13151514085791,4.2972027972028,1.58767676057195,0.0387953816695817,0.134951427617866,0.0387953816695817,0.134951427617866,0.152841787977594,0.5101813655554
17,13,1,1,7,3,"J. M. Hall","Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity",2020,"Journal Of Experimental Biology",3.308,"Metazoa","Chordata","NA","Squamata","Dactyloidae","Anolis sagrei","Terrestrial","Acclimation","NA","NA","8","Days",20.7,20.7,26.3,26.3,"T2",4.8,"Sinusoidal (Sine Curve)","1","Day","8","Egg","Embryo","Physiological","Metabolic Rate","microL/hr","NA","Yes","Yes","A","A","C","A","B","F","A","13:A:A:C:B:F:A:A",5,"A","C","13:A:A:C:3",17,12,16.13,3.29,12,18.85,4.05,11,35.24,3.84,12,34.89,5.39,"No","No","No","No","No","No",16.63,3.79,19.35,4.55,35.74,4.34,35.39,5.89,16.63,3.79,19.35,4.55,35.74,4.34,35.39,5.89,-0.0288080967222972,0.191156145357504,-0.0288080967222972,0.191156145357504,0.93767643627774,-0.104740287580012
18,13,1,2,8,4,"J. M. Hall","Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity",2020,"Journal Of Experimental Biology",3.308,"Metazoa","Chordata","NA","Squamata","Dactyloidae","Anolis sagrei","Terrestrial","Developmental Plasticity","Embryo","Egg Incubation","NA","NA",20.7,20.7,26.3,26.3,"T2",4.8,"Sinusoidal (Sine Curve)","1","Day","NA","NA","NA","Morphology","Length","mm","NA","No","Yes","A","A","C","A","B","F","A","13:A:A:C:B:F:A:A",5,"B","D","13:A:B:D:4",18,8,20.84,1.04,15,21.02,0.77,21,20.46,0.95,24,20.54,0.71,"No","No","No","No","No","No",21.34,1.54,21.52,1.27,20.96,1.45,21.04,1.21,21.34,1.54,21.52,1.27,20.96,1.45,21.04,1.21,-0.000819635893447994,0.179820285333227,-0.000819635893447994,0.179820285333227,0.93767643627774,-0.0116637347875031
19,13,1,2,8,6,"J. M. Hall","Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity",2020,"Journal Of Experimental Biology",3.308,"Metazoa","Chordata","NA","Squamata","Dactyloidae","Anolis sagrei","Terrestrial","Developmental Plasticity","Embryo","Egg Incubation","NA","NA",20.7,20.7,26.3,26.3,"T2",4.8,"Sinusoidal (Sine Curve)","1","Day","NA","NA","NA","Morphology","Tail Length","mm","NA","No","Yes","A","A","C","A","B","F","A","13:A:A:C:B:F:A:A",5,"B","D","13:A:B:D:6",19,46,30,2.37,52,30.39,2.05,50,32.05,1.68,50,31.91,1.47,"No","No","No","No","No","No",30.5,2.87,30.89,2.55,32.55,2.18,32.41,1.97,30.5,2.87,30.89,2.55,32.55,2.18,32.41,1.97,-0.00303860264611548,0.179058572207872,-0.00303860264611548,0.179058572207872,0.93767643627774,-0.00498690350554118
20,13,1,3,9,3,"J. M. Hall","Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity",2020,"Journal Of Experimental Biology",3.308,"Metazoa","Chordata","NA","Squamata","Dactyloidae","Anolis sagrei","Terrestrial","Acclimation","NA","NA","8","Days",20.7,20.7,26.3,26.3,"T2",4.8,"Stepwise","1","Day","8","Egg","Embryo","Physiological","Metabolic Rate","microL/hr","NA","Yes","Yes","A","A","D","A","B","G","A","13:A:A:D:B:G:A:A",6,"A","C","13:A:A:C:3",17,12,16.13,3.29,11,17.33,3.42,11,35.24,3.84,11,34.41,6.36,"No","No","No","No","No","No",16.63,3.79,17.83,3.92,35.74,4.34,34.91,6.86,16.63,3.79,17.83,3.92,35.74,4.34,34.91,6.86,-0.0166377370150982,0.192144778402257,-0.0166377370150982,0.192144778402257,0.93767643627774,-0.112337093542458
21,13,1,4,10,4,"J. M. Hall","Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity",2020,"Journal Of Experimental Biology",3.308,"Metazoa","Chordata","NA","Squamata","Dactyloidae","Anolis sagrei","Terrestrial","Developmental Plasticity","Embryo","Egg Incubation","NA","NA",20.7,20.7,26.3,26.3,"T2",4.8,"Stepwise","1","Day","NA","NA","NA","Morphology","Length","mm","NA","No","Yes","A","A","D","A","B","G","A","13:A:A:D:B:G:A:A",6,"B","D","13:A:B:D:4",18,8,20.84,1.04,17,20.54,0.74,21,20.46,0.95,24,20.48,0.84,"No","No","No","No","No","No",21.34,1.54,21.04,1.24,20.96,1.45,20.98,1.34,21.34,1.54,21.04,1.24,20.96,1.45,20.98,1.34,0.00269850027132285,0.179824587904066,0.00269850027132285,0.179824587904066,0.93767643627774,-0.0117012885137268
22,13,1,4,10,6,"J. M. Hall","Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity",2020,"Journal Of Experimental Biology",3.308,"Metazoa","Chordata","NA","Squamata","Dactyloidae","Anolis sagrei","Terrestrial","Developmental Plasticity","Embryo","Egg Incubation","NA","NA",20.7,20.7,26.3,26.3,"T2",4.8,"Stepwise","1","Day","NA","NA","NA","Morphology","Tail Length","mm","NA","No","Yes","A","A","D","A","B","G","A","13:A:A:D:B:G:A:A",6,"B","D","13:A:B:D:6",19,46,30,2.37,51,29.75,1.71,50,32.05,1.68,47,31.73,1.98,"No","No","No","No","No","No",30.5,2.87,30.25,2.21,32.55,2.18,32.23,2.48,30.5,2.87,30.25,2.21,32.55,2.18,32.23,2.48,-0.000294495301913601,0.179084258790528,-0.000294495301913564,0.179084258790528,0.93767643627774,-0.00521298580474779
